path,linked_notes_count,proposed_footer,action,skipped_reason,resolution_detail
africana_studies/01_social_structures/cyrus_carmack_belton_verdict_community_extraction.md,5,"## 🜃 Connected Glyphs

- [[racial_adjudication]]
- [[jim_crow_political_economy]]
- [[gibbs_green_tragedy_counter_memory]]
- [[sarah_lewis_douglass_visuality_and_racial_adjudication]]
- [[democratic_legitimacy_and_structural_power]]
",append,,'racial_adjudication' -> [[racial_adjudication]] (unresolved_fallback_filename) | 'jim_crow_political_economy' -> [[jim_crow_political_economy]] (unresolved_fallback_filename) | 'gibbs_green_tragedy_counter_memory' -> [[gibbs_green_tragedy_counter_memory]] (unresolved_fallback_filename) | 'sarah_lewis_douglass_visuality_and_racial_adjudication' -> [[sarah_lewis_douglass_visuality_and_racial_adjudication]] (unresolved_fallback_filename) | 'democratic_legitimacy_and_structural_power' -> [[democratic_legitimacy_and_structural_power]] (unresolved_fallback_filename)
africana_studies/03_ways_of_knowing/racial_adjudication.md,1,"## 🜃 Connected Glyphs

- [[sarah_lewis_douglass_visuality_and_racial_adjudication]]
",append,,'africana_studies/05_cultural_meaning_making/sarah_lewis_douglass_visuality_and_racial_adjudication.md' -> [[sarah_lewis_douglass_visuality_and_racial_adjudication]] (resolved_title)
africana_studies/09_reading_notes/carrscrolls/carrscroll_309.md,1,"## 🜃 Connected Glyphs

- [[sankofa_spine]]
",append,,'war_council/sankofa_spine.md' -> [[sankofa_spine]] (resolved_title)
africana_studies/99_legacy_topic_staging/03_resistance_traditions/_meta.md,1,"## 🜃 Connected Glyphs

- [[africana_studies_hub]]
",append,,'africana_studies_hub' -> [[africana_studies_hub]] (unresolved_fallback_filename)
africana_studies/99_legacy_topic_staging/04_cultural_expressions/kwanzaa.md,2,"## 🜃 Connected Glyphs

- [[index]]
- [[overview]]
",append,,'africana_studies/index.md' -> [[index]] (unresolved_fallback_filename) | 'douglass_os/overview.md' -> [[overview]] (unresolved_fallback_filename)
africana_studies/99_legacy_topic_staging/06_key_figures/mary_louvestre.md,1,"## 🜃 Connected Glyphs

- [[black_revolutionary_network]]
",append,,'africana_studies/07_conceptual_structures/black_revolutionary_network' -> [[black_revolutionary_network]] (unresolved_fallback_filename)
africana_studies/99_legacy_topic_staging/06_key_figures/shadrach_minkins.md,1,"## 🜃 Connected Glyphs

- [[black_revolutionary_network]]
",append,,'africana_studies/07_conceptual_structures/black_revolutionary_network' -> [[black_revolutionary_network]] (unresolved_fallback_filename)
africana_studies/99_legacy_topic_staging/07_conceptual_structures/anthea_butler_800_church_crown_asc.md,1,"## 🜃 Connected Glyphs

- [[charlemagne_to_christian_nationalism_carrscroll]]
",append,,'africana_studies/religion_power/charlemagne_to_christian_nationalism_carrscroll.md' -> [[charlemagne_to_christian_nationalism_carrscroll]] (unresolved_fallback_filename)
africana_studies/99_legacy_topic_staging/08_research_tools/emit_20260104154927d.md,1,"## 🜃 Connected Glyphs

- [[sankofa_spine]]
",append,,'war_council/sankofa_spine.md' -> [[sankofa_spine]] (resolved_title)
africana_studies/readme.md,3,"## 🜃 Connected Glyphs

- [[africana_studies_hub]]
- [[africana_studies_overview]]
- [[Sankofa Reading Journey]]
",append,,'africana_studies/00_method_and_syllabus/africana_studies_hub.md' -> [[africana_studies_hub]] (resolved_title) | 'africana_studies/00_method_and_syllabus/africana_studies_overview.md' -> [[africana_studies_overview]] (resolved_title) | 'africana_studies/00_method_and_syllabus/sankofa_reading_journey.md' -> [[Sankofa Reading Journey]] (resolved_title)
