source_path,raw_linked_notes_entry,exact_path_checked,exact_path_exists,basename_matches_elsewhere,risk_reason,recommended_classification
africana_studies/01_social_structures/cyrus_carmack_belton_verdict_community_extraction.md,racial_adjudication,,,africana_studies/03_ways_of_knowing/racial_adjudication.md,"bare name uniquely resolves, not a generic name",safe_to_apply
africana_studies/01_social_structures/cyrus_carmack_belton_verdict_community_extraction.md,jim_crow_political_economy,,,africana_studies/01_social_structures/jim_crow_political_economy.md,"bare name uniquely resolves, not a generic name",safe_to_apply
africana_studies/01_social_structures/cyrus_carmack_belton_verdict_community_extraction.md,gibbs_green_tragedy_counter_memory,,,africana_studies/06_movement_and_memory/gibbs_green_tragedy_counter_memory.md,"bare name uniquely resolves, not a generic name",safe_to_apply
africana_studies/01_social_structures/cyrus_carmack_belton_verdict_community_extraction.md,sarah_lewis_douglass_visuality_and_racial_adjudication,,,africana_studies/05_cultural_meaning_making/sarah_lewis_douglass_visuality_and_racial_adjudication.md,"bare name uniquely resolves, not a generic name",safe_to_apply
africana_studies/01_social_structures/cyrus_carmack_belton_verdict_community_extraction.md,democratic_legitimacy_and_structural_power,,,africana_studies/01_social_structures/democratic_legitimacy_and_structural_power.md,"bare name uniquely resolves, not a generic name",safe_to_apply
africana_studies/03_ways_of_knowing/racial_adjudication.md,africana_studies/05_cultural_meaning_making/sarah_lewis_douglass_visuality_and_racial_adjudication.md,africana_studies/05_cultural_meaning_making/sarah_lewis_douglass_visuality_and_racial_adjudication.md,True,,exact path resolved,safe_to_apply
africana_studies/09_reading_notes/carrscrolls/carrscroll_309.md,war_council/sankofa_spine.md,war_council/sankofa_spine.md,True,,exact path resolved,safe_to_apply
africana_studies/99_legacy_topic_staging/03_resistance_traditions/_meta.md,africana_studies_hub,,,africana_studies/00_method_and_syllabus/africana_studies_hub.md,"bare name uniquely resolves, not a generic name",safe_to_apply
africana_studies/99_legacy_topic_staging/04_cultural_expressions/kwanzaa.md,africana_studies/index.md,africana_studies/index.md,False,science/it_foundations/curriculum/comptia_network_plus_v10/assessments/index.md; science/it_foundations/curriculum/comptia_network_plus_v10/labs/index.md; science/it_foundations/curriculum/comptia_network_plus_v10/domain_5_troubleshooting/12_performance_and_recovery/index.md; science/it_foundations/curriculum/comptia_network_plus_v10/domain_4_security/10_risk_management/index.md; science/it_foundations/curriculum/comptia_network_plus_v10/domain_3_operations/09_wan_and_operations/index.md; science/it_foundations/curriculum/comptia_network_plus_v10/domain_2_implementations/08_segmentation/index.md; science/it_foundations/curriculum/comptia_network_plus_v10/domain_1_network_concepts/03_addressing/index.md,specified path does not exist (basename coincidentally matches 7 unrelated file(s)),dangling_or_wrong_path
africana_studies/99_legacy_topic_staging/04_cultural_expressions/kwanzaa.md,douglass_os/overview.md,douglass_os/overview.md,False,science/mathematics/algebra/overview.md,specified path does not exist (basename coincidentally matches 1 unrelated file(s)),dangling_or_wrong_path
africana_studies/99_legacy_topic_staging/06_key_figures/mary_louvestre.md,africana_studies/07_conceptual_structures/black_revolutionary_network,africana_studies/07_conceptual_structures/black_revolutionary_network.md,False,africana_studies/99_legacy_topic_staging/07_conceptual_structures/black_revolutionary_network.md,specified path does not exist (basename coincidentally matches 1 unrelated file(s)),dangling_or_wrong_path
africana_studies/99_legacy_topic_staging/06_key_figures/shadrach_minkins.md,africana_studies/07_conceptual_structures/black_revolutionary_network,africana_studies/07_conceptual_structures/black_revolutionary_network.md,False,africana_studies/99_legacy_topic_staging/07_conceptual_structures/black_revolutionary_network.md,specified path does not exist (basename coincidentally matches 1 unrelated file(s)),dangling_or_wrong_path
africana_studies/99_legacy_topic_staging/07_conceptual_structures/anthea_butler_800_church_crown_asc.md,africana_studies/religion_power/charlemagne_to_christian_nationalism_carrscroll.md,africana_studies/religion_power/charlemagne_to_christian_nationalism_carrscroll.md,False,africana_studies/99_legacy_topic_staging/01_historical_eras/charlemagne_to_christian_nationalism_carrscroll.md,specified path does not exist (basename coincidentally matches 1 unrelated file(s)),dangling_or_wrong_path
africana_studies/99_legacy_topic_staging/08_research_tools/emit_20260104154927d.md,war_council/sankofa_spine.md,war_council/sankofa_spine.md,True,,exact path resolved,safe_to_apply
africana_studies/readme.md,africana_studies/00_method_and_syllabus/africana_studies_hub.md,africana_studies/00_method_and_syllabus/africana_studies_hub.md,True,,exact path resolved,safe_to_apply
africana_studies/readme.md,africana_studies/00_method_and_syllabus/africana_studies_overview.md,africana_studies/00_method_and_syllabus/africana_studies_overview.md,True,,exact path resolved,safe_to_apply
africana_studies/readme.md,africana_studies/00_method_and_syllabus/sankofa_reading_journey.md,africana_studies/00_method_and_syllabus/sankofa_reading_journey.md,True,,exact path resolved,safe_to_apply
critical_infrastructure/critical_infrastructure_readme.md,sankofa_spine,,,war_council/sankofa_spine.md,"bare name uniquely resolves, not a generic name",safe_to_apply
liberal_arts/personal_development/chess/chess_dashboard.md,war_council/chess/chess_index,war_council/chess/chess_index.md,False,liberal_arts/personal_development/chess/chess_index.md,specified path does not exist (basename coincidentally matches 1 unrelated file(s)),dangling_or_wrong_path
liberal_arts/personal_development/chess/chess_dashboard.md,war_council/chess/chess_error_taxonomy,war_council/chess/chess_error_taxonomy.md,False,liberal_arts/personal_development/chess/chess_error_taxonomy.md,specified path does not exist (basename coincidentally matches 1 unrelated file(s)),dangling_or_wrong_path
liberal_arts/personal_development/chess/chess_dashboard.md,war_council/chess/games/chess_game_archive,war_council/chess/games/chess_game_archive.md,False,liberal_arts/personal_development/chess/games/chess_game_archive.md,specified path does not exist (basename coincidentally matches 1 unrelated file(s)),dangling_or_wrong_path
liberal_arts/personal_development/chess/chess_dashboard.md,war_council/chess/openings/chess_opening_repertoire,war_council/chess/openings/chess_opening_repertoire.md,False,liberal_arts/personal_development/chess/openings/chess_opening_repertoire.md,specified path does not exist (basename coincidentally matches 1 unrelated file(s)),dangling_or_wrong_path
liberal_arts/personal_development/chess/chess_dashboard.md,war_council/chess/training/chess_training_schedule,war_council/chess/training/chess_training_schedule.md,False,liberal_arts/personal_development/chess/training/chess_training_schedule.md,specified path does not exist (basename coincidentally matches 1 unrelated file(s)),dangling_or_wrong_path
liberal_arts/personal_development/chess/chess_dashboard.md,war_council/chess/training/chess_training_rituals,war_council/chess/training/chess_training_rituals.md,False,liberal_arts/personal_development/chess/training/chess_training_rituals.md,specified path does not exist (basename coincidentally matches 1 unrelated file(s)),dangling_or_wrong_path
liberal_arts/personal_development/chess/chess_index.md,chess_error_taxonomy,,,liberal_arts/personal_development/chess/chess_error_taxonomy.md,"bare name uniquely resolves, not a generic name",safe_to_apply
liberal_arts/personal_development/chess/chess_index.md,chess_training_rituals,,,liberal_arts/personal_development/chess/training/chess_training_rituals.md,"bare name uniquely resolves, not a generic name",safe_to_apply
liberal_arts/personal_development/chess/chess_index.md,chess_opening_repertoire,,,liberal_arts/personal_development/chess/openings/chess_opening_repertoire.md,"bare name uniquely resolves, not a generic name",safe_to_apply
liberal_arts/personal_development/chess/chess_index.md,chess_game_archive,,,liberal_arts/personal_development/chess/games/chess_game_archive.md,"bare name uniquely resolves, not a generic name",safe_to_apply
liberal_arts/personal_development/chess/games/20251206_003_maia_1100_win_b00.md,chess_error_taxonomy,,,liberal_arts/personal_development/chess/chess_error_taxonomy.md,"bare name uniquely resolves, not a generic name",safe_to_apply
liberal_arts/personal_development/chess/games/20251206_003_maia_1100_win_b00.md,chess_training_rituals,,,liberal_arts/personal_development/chess/training/chess_training_rituals.md,"bare name uniquely resolves, not a generic name",safe_to_apply
liberal_arts/personal_development/chess/games/20251206_003_maia_1100_win_b00.md,chess_opening_repertoire,,,liberal_arts/personal_development/chess/openings/chess_opening_repertoire.md,"bare name uniquely resolves, not a generic name",safe_to_apply
liberal_arts/personal_development/chess/games/20251206_003_maia_1100_win_b00.md,chess_tactical_archive,,,liberal_arts/personal_development/chess/tactics/chess_tactical_archive.md,"bare name uniquely resolves, not a generic name",safe_to_apply
liberal_arts/personal_development/chess/games/20251206_004_maia_1100_win_c44.md,chess_error_taxonomy,,,liberal_arts/personal_development/chess/chess_error_taxonomy.md,"bare name uniquely resolves, not a generic name",safe_to_apply
liberal_arts/personal_development/chess/games/20251206_004_maia_1100_win_c44.md,chess_training_rituals,,,liberal_arts/personal_development/chess/training/chess_training_rituals.md,"bare name uniquely resolves, not a generic name",safe_to_apply
liberal_arts/personal_development/chess/games/20251206_004_maia_1100_win_c44.md,chess_opening_repertoire,,,liberal_arts/personal_development/chess/openings/chess_opening_repertoire.md,"bare name uniquely resolves, not a generic name",safe_to_apply
liberal_arts/personal_development/chess/games/20251206_004_maia_1100_win_c44.md,chess_tactical_archive,,,liberal_arts/personal_development/chess/tactics/chess_tactical_archive.md,"bare name uniquely resolves, not a generic name",safe_to_apply
liberal_arts/personal_development/chess/games/20251206_005_maia_1100_draw_c40.md,chess_error_taxonomy,,,liberal_arts/personal_development/chess/chess_error_taxonomy.md,"bare name uniquely resolves, not a generic name",safe_to_apply
liberal_arts/personal_development/chess/games/20251206_005_maia_1100_draw_c40.md,chess_training_rituals,,,liberal_arts/personal_development/chess/training/chess_training_rituals.md,"bare name uniquely resolves, not a generic name",safe_to_apply
liberal_arts/personal_development/chess/games/20251206_005_maia_1100_draw_c40.md,chess_opening_repertoire,,,liberal_arts/personal_development/chess/openings/chess_opening_repertoire.md,"bare name uniquely resolves, not a generic name",safe_to_apply
liberal_arts/personal_development/chess/games/20251206_005_maia_1100_draw_c40.md,chess_tactical_archive,,,liberal_arts/personal_development/chess/tactics/chess_tactical_archive.md,"bare name uniquely resolves, not a generic name",safe_to_apply
liberal_arts/personal_development/chess/games/20251209_001_maia_1100_loss_b00.md,chess_error_taxonomy,,,liberal_arts/personal_development/chess/chess_error_taxonomy.md,"bare name uniquely resolves, not a generic name",safe_to_apply
liberal_arts/personal_development/chess/games/20251209_001_maia_1100_loss_b00.md,chess_training_rituals,,,liberal_arts/personal_development/chess/training/chess_training_rituals.md,"bare name uniquely resolves, not a generic name",safe_to_apply
liberal_arts/personal_development/chess/games/20251209_001_maia_1100_loss_b00.md,chess_opening_repertoire,,,liberal_arts/personal_development/chess/openings/chess_opening_repertoire.md,"bare name uniquely resolves, not a generic name",safe_to_apply
liberal_arts/personal_development/chess/games/20251209_001_maia_1100_loss_b00.md,chess_tactical_archive,,,liberal_arts/personal_development/chess/tactics/chess_tactical_archive.md,"bare name uniquely resolves, not a generic name",safe_to_apply
liberal_arts/personal_development/chess/games/20251209_002_maia_1100_loss_b00.md,chess_error_taxonomy,,,liberal_arts/personal_development/chess/chess_error_taxonomy.md,"bare name uniquely resolves, not a generic name",safe_to_apply
liberal_arts/personal_development/chess/games/20251209_002_maia_1100_loss_b00.md,chess_training_rituals,,,liberal_arts/personal_development/chess/training/chess_training_rituals.md,"bare name uniquely resolves, not a generic name",safe_to_apply
liberal_arts/personal_development/chess/games/20251209_002_maia_1100_loss_b00.md,chess_opening_repertoire,,,liberal_arts/personal_development/chess/openings/chess_opening_repertoire.md,"bare name uniquely resolves, not a generic name",safe_to_apply
liberal_arts/personal_development/chess/games/20251209_002_maia_1100_loss_b00.md,chess_tactical_archive,,,liberal_arts/personal_development/chess/tactics/chess_tactical_archive.md,"bare name uniquely resolves, not a generic name",safe_to_apply
liberal_arts/personal_development/chess/games/20251210_001_maia_1100_win_b50.md,chess_error_taxonomy,,,liberal_arts/personal_development/chess/chess_error_taxonomy.md,"bare name uniquely resolves, not a generic name",safe_to_apply
liberal_arts/personal_development/chess/games/20251210_001_maia_1100_win_b50.md,chess_training_rituals,,,liberal_arts/personal_development/chess/training/chess_training_rituals.md,"bare name uniquely resolves, not a generic name",safe_to_apply
liberal_arts/personal_development/chess/games/20251210_001_maia_1100_win_b50.md,chess_opening_repertoire,,,liberal_arts/personal_development/chess/openings/chess_opening_repertoire.md,"bare name uniquely resolves, not a generic name",safe_to_apply
liberal_arts/personal_development/chess/games/20251210_001_maia_1100_win_b50.md,chess_tactical_archive,,,liberal_arts/personal_development/chess/tactics/chess_tactical_archive.md,"bare name uniquely resolves, not a generic name",safe_to_apply
liberal_arts/personal_development/chess/games/20251212_001_maia_1100_loss_b30.md,chess_error_taxonomy,,,liberal_arts/personal_development/chess/chess_error_taxonomy.md,"bare name uniquely resolves, not a generic name",safe_to_apply
liberal_arts/personal_development/chess/games/20251212_001_maia_1100_loss_b30.md,chess_training_rituals,,,liberal_arts/personal_development/chess/training/chess_training_rituals.md,"bare name uniquely resolves, not a generic name",safe_to_apply
liberal_arts/personal_development/chess/games/20251212_001_maia_1100_loss_b30.md,chess_opening_repertoire,,,liberal_arts/personal_development/chess/openings/chess_opening_repertoire.md,"bare name uniquely resolves, not a generic name",safe_to_apply
liberal_arts/personal_development/chess/games/20251212_001_maia_1100_loss_b30.md,chess_tactical_archive,,,liberal_arts/personal_development/chess/tactics/chess_tactical_archive.md,"bare name uniquely resolves, not a generic name",safe_to_apply
liberal_arts/personal_development/chess/games/20251225_001_maia_1100_win_a40.md,chess_error_taxonomy,,,liberal_arts/personal_development/chess/chess_error_taxonomy.md,"bare name uniquely resolves, not a generic name",safe_to_apply
liberal_arts/personal_development/chess/games/20251225_001_maia_1100_win_a40.md,chess_training_rituals,,,liberal_arts/personal_development/chess/training/chess_training_rituals.md,"bare name uniquely resolves, not a generic name",safe_to_apply
liberal_arts/personal_development/chess/games/20251225_001_maia_1100_win_a40.md,chess_opening_repertoire,,,liberal_arts/personal_development/chess/openings/chess_opening_repertoire.md,"bare name uniquely resolves, not a generic name",safe_to_apply
liberal_arts/personal_development/chess/games/20251225_001_maia_1100_win_a40.md,chess_tactical_archive,,,liberal_arts/personal_development/chess/tactics/chess_tactical_archive.md,"bare name uniquely resolves, not a generic name",safe_to_apply
liberal_arts/personal_development/chess/games/20260106_001_maia_1100_win_d00.md,chess_error_taxonomy,,,liberal_arts/personal_development/chess/chess_error_taxonomy.md,"bare name uniquely resolves, not a generic name",safe_to_apply
liberal_arts/personal_development/chess/games/20260106_001_maia_1100_win_d00.md,chess_training_rituals,,,liberal_arts/personal_development/chess/training/chess_training_rituals.md,"bare name uniquely resolves, not a generic name",safe_to_apply
liberal_arts/personal_development/chess/games/20260106_001_maia_1100_win_d00.md,chess_opening_repertoire,,,liberal_arts/personal_development/chess/openings/chess_opening_repertoire.md,"bare name uniquely resolves, not a generic name",safe_to_apply
liberal_arts/personal_development/chess/games/20260106_001_maia_1100_win_d00.md,chess_tactical_archive,,,liberal_arts/personal_development/chess/tactics/chess_tactical_archive.md,"bare name uniquely resolves, not a generic name",safe_to_apply
liberal_arts/personal_development/chess/openings/chess_opening_repertoire.md,chess_index,,,liberal_arts/personal_development/chess/chess_index.md,"bare name uniquely resolves, not a generic name",safe_to_apply
liberal_arts/personal_development/chess/openings/chess_opening_repertoire.md,chess_error_taxonomy,,,liberal_arts/personal_development/chess/chess_error_taxonomy.md,"bare name uniquely resolves, not a generic name",safe_to_apply
liberal_arts/personal_development/chess/openings/chess_opening_repertoire.md,chess_training_schedule,,,liberal_arts/personal_development/chess/training/chess_training_schedule.md,"bare name uniquely resolves, not a generic name",safe_to_apply
liberal_arts/personal_development/chess/training/chess_training_rituals.md,chess_index,,,liberal_arts/personal_development/chess/chess_index.md,"bare name uniquely resolves, not a generic name",safe_to_apply
liberal_arts/personal_development/chess/training/chess_training_rituals.md,chess_training_schedule,,,liberal_arts/personal_development/chess/training/chess_training_schedule.md,"bare name uniquely resolves, not a generic name",safe_to_apply
liberal_arts/personal_development/chess/training/chess_training_rituals.md,chess_error_taxonomy,,,liberal_arts/personal_development/chess/chess_error_taxonomy.md,"bare name uniquely resolves, not a generic name",safe_to_apply
liberal_arts/personal_development/chess/training/chess_training_rituals.md,chess_tactical_archive,,,liberal_arts/personal_development/chess/tactics/chess_tactical_archive.md,"bare name uniquely resolves, not a generic name",safe_to_apply
liberal_arts/personal_development/daily_journal/010326.md,sankofa_spine,,,war_council/sankofa_spine.md,"bare name uniquely resolves, not a generic name",safe_to_apply
liberal_arts/personal_development/daily_journal/122125.md,carrscroll_302,,,africana_studies/09_reading_notes/carrscrolls/carrscroll_302.md,"bare name uniquely resolves, not a generic name",safe_to_apply
