file,status,applied,had_frontmatter,changes,error
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\00_method_and_syllabus\africana_studies_hub.md,changed,no,yes,fixed path -> africana_studies/00_method_and_syllabus/africana_studies_hub.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\00_method_and_syllabus\africana_studies_overview.md,changed,no,yes,fixed path -> africana_studies/00_method_and_syllabus/africana_studies_overview.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\00_method_and_syllabus\memory_palace_douglass_anacostia_house_of_sight.md,changed,no,yes,renamed grok_ctx_reflection -> ctx_grok_reflection,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\00_method_and_syllabus\reading_log_schema.md,changed,no,yes,renamed grok_ctx_reflection -> ctx_grok_reflection; fixed path -> africana_studies/00_method_and_syllabus/reading_log_schema.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\00_method_and_syllabus\sankofa_reading_journey.md,changed,no,yes,renamed grok_ctx_reflection -> ctx_grok_reflection; fixed path -> africana_studies/00_method_and_syllabus/sankofa_reading_journey.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\01_social_structures\cyrus_carmack_belton_verdict_community_extraction.md,changed,no,yes,renamed grok_ctx_reflection -> ctx_grok_reflection,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\01_social_structures\democratic_legitimacy_and_structural_power.md,changed,no,yes,renamed grok_ctx_reflection -> ctx_grok_reflection; fixed path -> africana_studies/01_social_structures/democratic_legitimacy_and_structural_power.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\01_social_structures\jim_crow_political_economy.md,changed,no,yes,fixed path -> africana_studies/01_social_structures/jim_crow_political_economy.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\01_social_structures\the_new_jim_crow.md,changed,no,yes,fixed path -> africana_studies/01_social_structures/the_new_jim_crow.md,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\01_social_structures\zambia_zimbabwe_hiv_aid_minerals_biomedical_extractivism.md,changed,no,yes,renamed grok_ctx_reflection -> ctx_grok_reflection,
C:\Users\digitalscorpyun\sankofa_temple\Anacostia\africana_studies\02_governance\black_political_agency_early_modern_atlantic.md,changed,no,yes,renamed grok_ctx_reflection -> ctx_grok_reflection; fixed path -> africana_studies/02_governance/black_political_agency_early_modern_atlantic.md,
